provinceName,province_confirmedCount,province_curedCount,province_deadCount,updateTime
湖北省,66337,19789,2727,2020-02-29 23:59:00
广东省,1349,560,7,2020-02-29 23:59:00
浙江省,1205,678,1,2020-02-29 23:59:00
河南省,1271,719,19,2020-02-29 23:59:00
湖南省,1015,620,4,2020-02-29 23:59:00
安徽省,986,650,5,2020-02-29 23:59:00
江西省,934,590,1,2020-02-29 23:59:00
山东省,751,438,6,2020-02-29 23:59:00
江苏省,631,490,0,2020-02-29 23:59:00
重庆市,576,400,6,2020-02-29 23:59:00
四川省,537,310,3,2020-02-29 23:59:00
北京市,416,280,8,2020-02-29 23:59:00
上海市,337,220,3,2020-02-29 23:59:00
福建省,295,180,1,2020-02-29 23:59:00
陕西省,245,155,2,2020-02-29 23:59:00
广西壮族自治区,250,180,2,2020-02-29 23:59:00
云南省,174,125,2,2020-02-29 23:59:00
黑龙江省,480,280,10,2020-02-29 23:59:00
河北省,318,200,5,2020-02-29 23:59:00
辽宁省,130,90,1,2020-02-29 23:59:00
山西省,133,95,0,2020-02-29 23:59:00
天津市,135,80,3,2020-02-29 23:59:00
海南省,168,105,6,2020-02-29 23:59:00
贵州省,145,98,2,2020-02-29 23:59:00
甘肃省,91,50,2,2020-02-29 23:59:00
新疆维吾尔自治区,70,40,2,2020-02-29 23:59:00
内蒙古自治区,75,60,1,2020-02-29 23:59:00
吉林省,93,62,2,2020-02-29 23:59:00
宁夏回族自治区,71,55,0,2020-02-29 23:59:00
青海省,18,14,0,2020-02-29 23:59:00
西藏自治区,1,1,0,2020-02-29 23:59:00
香港,93,30,2,2020-02-29 23:59:00
澳门,10,6,0,2020-02-29 23:59:00
台湾,39,9,1,2020-02-29 23:59:00
