Province,Cluster,Confirmed,Cured,Dead
台湾,4,16931,13742,850
香港,4,12598,12189,213
陕西,2,1391,706,3
河南,2,1641,1588,22
浙江,2,2006,1502,1
广西,1,593,340,2
内蒙古,2,1186,1017,1
广东,3,3427,3331,8
湖南,2,1216,1195,4
上海,3,3048,2887,7
云南,2,1803,1708,2
天津,1,564,523,3
四川,2,1309,1278,3
北京,2,1208,1184,9
黑龙江,3,2035,2017,13
辽宁,2,793,786,2
甘肃,1,356,345,2
江苏,2,1624,1620,0
福建,2,1350,1318,1
湖北,5,68316,63804,4512
山东,2,1038,1002,7
吉林,1,589,579,3
河北,2,1458,1451,7
山西,1,265,265,0
安徽,2,1009,1002,6
重庆,1,610,602,6
青海,1,30,30,0
宁夏,1,122,122,0
江西,2,959,958,1
贵州,1,159,157,2
澳门,1,77,77,0
新疆,2,981,978,3
海南,1,190,184,6
西藏,1,1,1,0
