Province,Cluster,Confirmed,Cured,Dead
上海,3,4475,3888,7
吉林,1,629,588,3
台湾,4,20717,13742,853
河北,2,1482,1469,7
福建,2,1568,1477,1
四川,2,1490,1379,3
香港,5,138145,20649,1366
浙江,2,2275,1981,1
江苏,2,1781,1691,0
河南,3,2677,2636,22
内蒙古,2,1630,1320,1
广东,3,5033,3925,8
湖北,5,68377,63808,4512
天津,2,1136,1092,3
广西,2,1159,863,2
山东,2,1144,1090,7
辽宁,2,1029,829,2
黑龙江,2,2092,2050,13
北京,2,1504,1370,9
云南,2,1966,1880,2
澳门,1,82,79,0
山西,1,286,268,0
甘肃,1,369,358,2
安徽,2,1013,1003,6
湖南,2,1234,1226,4
重庆,1,622,607,6
海南,1,191,184,6
贵州,1,162,160,2
新疆,2,996,993,3
陕西,3,2826,2823,3
青海,1,30,30,0
宁夏,1,122,122,0
江西,2,959,958,1
西藏,1,1,1,0
