provinceName,province_confirmedCount,province_curedCount,province_deadCount,updateTime
台湾,16931,13742,850,2021-12-27 18:10:35
香港,12598,12189,213,2021-12-27 18:10:35
陕西省,1391,706,3,2021-12-27 10:46:19
河南省,1641,1588,22,2021-12-27 10:42:23
浙江省,2006,1502,1,2021-12-27 10:38:18
广西壮族自治区,593,340,2,2021-12-27 10:38:18
内蒙古自治区,1186,1017,1,2021-12-27 10:38:18
广东省,3427,3331,8,2021-12-27 10:38:18
湖南省,1216,1195,4,2021-12-27 10:38:18
上海市,3048,2887,7,2021-12-27 09:08:25
云南省,1803,1708,2,2021-12-27 09:08:25
天津市,564,523,3,2021-12-27 09:08:25
四川省,1309,1278,3,2021-12-27 09:08:25
北京市,1208,1184,9,2021-12-27 09:08:25
黑龙江省,2035,2017,13,2021-12-27 09:08:25
辽宁省,793,786,2,2021-12-27 09:08:25
甘肃省,356,345,2,2021-12-26 18:16:24
江苏省,1624,1620,0,2021-12-26 09:39:10
福建省,1350,1318,1,2021-12-26 09:37:07
湖北省,68316,63804,4512,2021-12-25 09:41:30
山东省,1038,1002,7,2021-12-25 09:18:04
吉林省,589,579,3,2021-12-24 10:59:23
河北省,1458,1451,7,2021-12-23 08:57:11
山西省,265,265,0,2021-12-18 09:03:18
安徽省,1009,1002,6,2021-12-16 10:11:23
重庆市,610,602,6,2021-12-09 09:13:47
青海省,30,30,0,2021-12-04 09:50:44
宁夏回族自治区,122,122,0,2021-11-29 09:53:04
江西省,959,958,1,2021-11-27 10:47:22
贵州省,159,157,2,2021-11-23 10:18:32
澳门,77,77,0,2021-11-16 17:49:09
新疆维吾尔自治区,981,978,3,2021-10-15 09:19:42
海南省,190,184,6,2021-09-03 19:55:09
西藏自治区,1,1,0,2021-09-03 19:55:09
