provinceName,province_confirmedCount,province_curedCount,province_deadCount,updateTime
台湾,16283,13742,845,2021-10-08 18:14:05
香港,12253,11942,213,2021-10-08 18:08:39
上海市,2644,2563,7,2021-10-08 10:13:17
山东省,947,918,7,2021-10-08 10:08:43
河南省,1543,1503,22,2021-10-08 10:08:43
福建省,1290,1080,1,2021-10-08 10:01:10
四川省,1212,1197,3,2021-10-08 09:55:10
天津市,492,478,3,2021-10-08 09:50:08
黑龙江省,1711,1618,13,2021-10-08 09:43:30
陕西省,675,668,3,2021-10-08 09:41:13
广东省,3193,3137,8,2021-10-08 09:32:17
云南省,1491,1279,2,2021-10-08 09:14:21
湖北省,68299,63776,4512,2021-10-07 10:06:10
浙江省,1451,1405,1,2021-10-07 10:01:11
重庆市,603,597,6,2021-10-07 09:15:12
辽宁省,457,446,2,2021-10-07 08:51:08
北京市,1126,1104,9,2021-10-07 08:46:23
江苏省,1600,1592,0,2021-10-06 10:47:30
新疆维吾尔自治区,981,977,3,2021-10-06 10:34:58
广西壮族自治区,301,280,2,2021-10-06 10:23:10
吉林省,577,571,3,2021-10-06 10:23:10
河北省,1319,1310,7,2021-10-06 10:23:10
内蒙古自治区,420,416,1,2021-10-06 09:34:17
澳门,75,64,0,2021-10-05 22:46:30
山西省,260,257,0,2021-10-05 10:46:13
湖南省,1189,1177,4,2021-10-04 10:12:11
安徽省,1008,1002,6,2021-09-03 19:55:09
江西省,937,936,1,2021-09-03 19:55:09
甘肃省,199,197,2,2021-09-03 19:55:09
海南省,190,184,6,2021-09-03 19:55:09
贵州省,147,145,2,2021-09-03 19:55:09
宁夏回族自治区,77,77,0,2021-09-03 19:55:09
西藏自治区,1,1,0,2021-09-03 19:55:09
青海省,18,18,0,2021-04-21 19:12:14
