Province,Cluster,Confirmed,Cured,Dead
香港,4,6039,5313,108
台湾,2,639,555,7
陕西,2,497,455,3
天津,1,299,283,3
福建,2,481,438,1
四川,2,801,759,3
广东,3,1988,1943,8
上海,3,1322,1253,7
山西,1,220,217,0
辽宁,1,289,286,2
内蒙古,1,320,296,1
北京,3,950,937,9
江苏,2,680,672,0
湖北,5,68148,63629,4512
甘肃,1,181,179,2
河南,3,1289,1261,22
河北,1,373,366,6
湖南,3,1020,1016,4
浙江,3,1293,1283,1
广西,1,263,258,2
新疆,3,980,977,3
云南,1,217,210,2
重庆,2,590,583,6
山东,2,849,841,7
黑龙江,3,949,936,13
安徽,3,992,985,6
江西,3,935,931,1
吉林,1,157,155,2
澳门,1,46,46,0
海南,1,171,165,6
贵州,1,147,145,2
宁夏,1,75,75,0
青海,1,18,18,0
西藏,1,1,1,0
