provinceName,province_confirmedCount,province_curedCount,province_deadCount,updateTime
云南省,5007,4072,2,2022-12-14 17:35:24
陕西省,5462,4846,3,2022-12-14 17:35:24
甘肃省,1561,1529,2,2022-12-14 17:35:24
新疆维吾尔自治区,2632,2602,3,2022-12-14 17:35:24
宁夏回族自治区,238,237,0,2022-12-14 17:35:24
广东省,55674,46123,8,2022-12-14 17:26:50
湖南省,2442,2122,4,2022-12-14 17:19:21
湖北省,68862,64071,4512,2022-12-14 17:17:47
山东省,4564,4131,8,2022-12-14 17:16:06
福建省,7326,6520,1,2022-12-14 16:50:20
江苏省,3796,3667,0,2022-12-14 16:50:20
黑龙江省,5389,4984,13,2022-12-14 16:48:39
辽宁省,3023,2683,2,2022-12-14 16:48:39
吉林省,40481,40422,5,2022-12-14 16:48:39
内蒙古自治区,8237,7962,1,2022-12-14 16:44:00
山西省,5006,3882,0,2022-12-14 16:32:26
北京市,25249,14283,13,2022-12-14 16:23:49
浙江省,5858,4568,1,2022-12-14 10:33:09
河北省,2839,2774,7,2022-12-14 10:24:58
四川省,11315,9929,5,2022-12-14 10:17:36
上海市,64978,64098,595,2022-12-14 09:39:05
香港,478020,103631,11021,2022-12-14 09:32:28
澳门,1142,804,6,2022-12-14 09:32:28
台湾,8498195,13742,14722,2022-12-13 17:29:42
河南省,8692,6219,23,2022-12-13 16:56:46
贵州省,1756,1514,2,2022-12-13 16:56:46
西藏自治区,1522,1515,0,2022-12-13 16:56:46
天津市,2627,2566,3,2022-12-13 16:08:50
青海省,510,482,0,2022-12-13 11:15:56
安徽省,1699,1654,6,2022-12-13 11:03:21
海南省,10287,9103,6,2022-12-13 10:53:12
重庆市,8542,6627,7,2022-12-13 10:44:07
广西壮族自治区,2431,2394,2,2022-12-13 10:38:21
江西省,1547,1536,1,2022-12-13 09:36:36
