Province,Cluster,Confirmed,Cured,Dead
台湾,4,16283,13742,845
香港,4,12253,11942,213
上海,3,2644,2563,7
山东,2,947,918,7
河南,2,1543,1503,22
福建,2,1290,1080,1
四川,2,1212,1197,3
天津,1,492,478,3
黑龙江,2,1711,1618,13
陕西,1,675,668,3
广东,3,3193,3137,8
云南,2,1491,1279,2
湖北,5,68299,63776,4512
浙江,2,1451,1405,1
重庆,1,603,597,6
辽宁,1,457,446,2
北京,2,1126,1104,9
江苏,2,1600,1592,0
新疆,2,981,977,3
广西,1,301,280,2
吉林,1,577,571,3
河北,2,1319,1310,7
内蒙古,1,420,416,1
澳门,1,75,64,0
山西,1,260,257,0
湖南,2,1189,1177,4
安徽,2,1008,1002,6
江西,2,937,936,1
甘肃,1,199,197,2
海南,1,190,184,6
贵州,1,147,145,2
宁夏,1,77,77,0
西藏,1,1,1,0
青海,1,18,18,0
