Province,Cluster,Confirmed,Cured,Dead
湖北,5,68130,63600,4510  
广东,4,1590,1530,8  
浙江,4,1268,1260,1 
河南,4,1270,1245,22  
湖南,4,1018,1008,4  
安徽,4,990,980,6  
江西,4,930,920,1  
山东,3,790,780,7
江苏,3,655,648,0  
重庆,3,580,574,6  
四川,3,590,580,3  
北京,3,600,585,9  
上海,3,670,650,7  
福建,2,355,350,1  
陕西,2,310,300,3  
广西,2,250,248,2  
云南,2,180,177,2  
黑龙江,4,940,910,13  
河北,2,360,350,6  
辽宁,2,280,276,2  
山西,2,210,208,0  
天津,2,200,195,3  
海南,2,170,160,6  
贵州,2,145,140,2  
甘肃,2,160,158,2  
新疆,1,80,78,3  
内蒙古,2,220,215,1  
吉林,2,155,152,2  
宁夏,1,75,74,0  
青海,1,18,18,0  
西藏,1,1,1,0  
香港,4,1100,1050,4  
澳门,1,45,45,0
台湾,3,440,420,7
