provinceName,province_confirmedCount,province_curedCount,province_deadCount,updateTime
香港,6039,5313,108,2020-11-27 20:13:11
台湾,639,555,7,2020-11-27 20:13:11
中国,93219,87468,4749,2020-11-27 20:13:11
陕西省,497,455,3,2020-11-27 10:14:09
天津市,299,283,3,2020-11-27 10:14:09
福建省,481,438,1,2020-11-27 09:36:14
四川省,801,759,3,2020-11-27 09:36:14
广东省,1988,1943,8,2020-11-27 09:36:14
上海市,1322,1253,7,2020-11-27 08:55:12
山西省,220,217,0,2020-11-27 08:55:12
辽宁省,289,286,2,2020-11-27 08:55:12
内蒙古自治区,320,296,1,2020-11-26 10:17:11
北京市,950,937,9,2020-11-26 09:49:03
江苏省,680,672,0,2020-11-26 09:34:31
湖北省,68148,63629,4512,2020-11-26 09:34:31
甘肃省,181,179,2,2020-11-25 08:30:01
河南省,1289,1261,22,2020-11-24 09:33:24
河北省,373,366,6,2020-11-24 09:33:24
湖南省,1020,1016,4,2020-11-23 11:14:24
浙江省,1293,1283,1,2020-11-22 10:39:29
广西壮族自治区,263,258,2,2020-11-22 09:19:48
新疆维吾尔自治区,980,977,3,2020-11-20 09:10:14
云南省,217,210,2,2020-11-19 08:39:20
重庆市,590,583,6,2020-11-19 08:39:20
山东省,849,841,7,2020-11-18 08:00:27
黑龙江省,949,936,13,2020-11-12 08:41:04
安徽省,992,985,6,2020-11-10 18:32:39
江西省,935,931,1,2020-08-19 18:25:24
吉林省,157,155,2,2020-08-16 08:26:17
澳门,46,46,0,2020-07-19 14:33:02
海南省,171,165,6,2020-06-26 11:00:47
贵州省,147,145,2,2020-04-19 08:51:07
宁夏回族自治区,75,75,0,2020-03-16 16:47:05
青海省,18,18,0,2020-02-23 19:19:02
西藏自治区,1,1,0,2020-02-23 19:19:02
