provinceName,province_confirmedCount,province_curedCount,province_deadCount,updateTime
湖北省,68130,63600,4510,2020-05-31 23:59:00
广东省,1590,1530,8,2020-05-31 23:59:00
浙江省,1268,1260,1,2020-05-31 23:59:00
河南省,1270,1245,22,2020-05-31 23:59:00
湖南省,1018,1008,4,2020-05-31 23:59:00
安徽省,990,980,6,2020-05-31 23:59:00
江西省,930,920,1,2020-05-31 23:59:00
山东省,790,780,7,2020-05-31 23:59:00
江苏省,655,648,0,2020-05-31 23:59:00
重庆市,580,574,6,2020-05-31 23:59:00
四川省,590,580,3,2020-05-31 23:59:00
北京市,600,585,9,2020-05-31 23:59:00
上海市,670,650,7,2020-05-31 23:59:00
福建省,355,350,1,2020-05-31 23:59:00
陕西省,310,300,3,2020-05-31 23:59:00
广西壮族自治区,250,248,2,2020-05-31 23:59:00
云南省,180,177,2,2020-05-31 23:59:00
黑龙江省,940,910,13,2020-05-31 23:59:00
河北省,360,350,6,2020-05-31 23:59:00
辽宁省,280,276,2,2020-05-31 23:59:00
山西省,210,208,0,2020-05-31 23:59:00
天津市,200,195,3,2020-05-31 23:59:00
海南省,170,160,6,2020-05-31 23:59:00
贵州省,145,140,2,2020-05-31 23:59:00
甘肃省,160,158,2,2020-05-31 23:59:00
新疆维吾尔自治区,80,78,3,2020-05-31 23:59:00
内蒙古自治区,220,215,1,2020-05-31 23:59:00
吉林省,155,152,2,2020-05-31 23:59:00
宁夏回族自治区,75,74,0,2020-05-31 23:59:00
青海省,18,18,0,2020-05-31 23:59:00
西藏自治区,1,1,0,2020-05-31 23:59:00
香港,1100,1050,4,2020-05-31 23:59:00
澳门,45,45,0,2020-05-31 23:59:00
台湾,440,420,7,2020-05-31 23:59:00
