Province,Cluster,Confirmed,Cured,Dead
湖北,5,66337,19789,2727
广东,4,1349,560,7
浙江,4,1205,678,1
河南,4,1271,719,19
湖南,4,1015,620,4
安徽,4,986,650,5
江西,4,934,590,1
山东,3,751,438,6
江苏,3,631,490,0
重庆,3,576,400,6
四川,3,537,310,3
北京,3,416,280,8
上海,2,337,220,3
福建,2,295,180,1
陕西,2,245,155,2
广西,2,250,180,2
云南,2,174,125,2
黑龙江,3,480,280,10
河北,2,318,200,5
辽宁,1,130,90,1
山西,1,133,95,0
天津,1,135,80,3
海南,2,168,105,6
贵州,1,145,98,2
甘肃,1,91,50,2
新疆,1,70,40,2
内蒙古,1,75,60,1
吉林,1,93,62,2
宁夏,1,71,55,0
青海,1,18,14,0
西藏,1,1,1,0
香港,1,93,30,2
澳门,1,10,6,0
台湾,1,39,9,1
